Page,Valid: first initials,Valid: second initials,Not valid: issue posted in hmt-archive
urn:cite:hmt:msA.79v,,,
urn:cite:hmt:msA.80r,,,NS: book subscription double entere as urn:cts:greekLit:tlg5026.msAsub.hmt
urn:cite:hmt:msA.80v,,,
urn:cite:hmt:msA.81r,,,
urn:cite:hmt:msA.81v,,,
urn:cite:hmt:msA.82r,,,
urn:cite:hmt:msA.82v,,,
urn:cite:hmt:msA.83r,,,
urn:cite:hmt:msA.83v,,,
urn:cite:hmt:msA.84r,,,
urn:cite:hmt:msA.84v,,,
urn:cite:hmt:msA.85r,,,
urn:cite:hmt:msA.85v,,,
urn:cite:hmt:msA.86r,,,
urn:cite:hmt:msA.86v,,,
urn:cite:hmt:msA.87r,,,
urn:cite:hmt:msA.87v,,,
urn:cite:hmt:msA.88r,,,
urn:cite:hmt:msA.88v,,,
urn:cite:hmt:msA.89r,,,
urn:cite:hmt:msA.89v,,,
urn:cite:hmt:msA.90r,NS,,
urn:cite:hmt:msA.90v,,,NS: book subscription doubled entered
urn:cite:hmt:msA.91r,,,NS: scholion misclassified
urn:cite:hmt:msA.91v,,,
urn:cite:hmt:msA.92r,,,
urn:cite:hmt:msA.92v,,,
urn:cite:hmt:msA.93r,,,
urn:cite:hmt:msA.93v,,,NS: scholia misclassified
urn:cite:hmt:msA.94r,,,NS: scholia misclassified
urn:cite:hmt:msA.94v,,,NS: scholia misclassified
urn:cite:hmt:msA.95r,,,NS: scholia misclassified
urn:cite:hmt:msA.95v,,,NS: scholia misclassified
urn:cite:hmt:msA.96r,,,
urn:cite:hmt:msA.96v,,,
urn:cite:hmt:msA.97r,,,
urn:cite:hmt:msA.97v,,,
urn:cite:hmt:msA.98r,,,
urn:cite:hmt:msA.98v,,,
urn:cite:hmt:msA.99r,,,
urn:cite:hmt:msA.99v,,,
urn:cite:hmt:msA.100r,,,
urn:cite:hmt:msA.100v,,,NS: Iliad lines missing
urn:cite:hmt:msA.101r,,,
urn:cite:hmt:msA.101v,,,
urn:cite:hmt:msA.102r,,,
urn:cite:hmt:msA.102v,,,
urn:cite:hmt:msA.103r,,,
urn:cite:hmt:msA.103v,,,
urn:cite:hmt:msA.104r,,,
urn:cite:hmt:msA.104v,,,
urn:cite:hmt:msA.105r,,,
urn:cite:hmt:msA.105v,,,
urn:cite:hmt:msA.106r,,,
urn:cite:hmt:msA.106v,,,
urn:cite:hmt:msA.107r,,,
urn:cite:hmt:msA.107v,,,
urn:cite:hmt:msA.108r,,,
urn:cite:hmt:msA.108v,,,
urn:cite:hmt:msA.109r,,,
urn:cite:hmt:msA.109v,,,
urn:cite:hmt:msA.110r,,,
urn:cite:hmt:msA.110v,,,
urn:cite:hmt:msA.111r,,,
urn:cite:hmt:msA.111v,,,NS: Iliad lines missing
urn:cite:hmt:msA.112r,,,
urn:cite:hmt:msA.112v,,,
urn:cite:hmt:msA.113r,,,
urn:cite:hmt:msA.113v,,,
urn:cite:hmt:msA.114r,,,
urn:cite:hmt:msA.114v,,,
urn:cite:hmt:msA.115r,,,
urn:cite:hmt:msA.115v,,,
urn:cite:hmt:msA.116r,,,
urn:cite:hmt:msA.116v,,,
urn:cite:hmt:msA.117r,,,
urn:cite:hmt:msA.117v,,,
urn:cite:hmt:msA.118r,,,
urn:cite:hmt:msA.118v,,,
urn:cite:hmt:msA.119r,,,
urn:cite:hmt:msA.119v,,,
urn:cite:hmt:msA.120r,,,
urn:cite:hmt:msA.120v,,,
urn:cite:hmt:msA.121r,,,
urn:cite:hmt:msA.121v,,,
urn:cite:hmt:msA.122r,,,
urn:cite:hmt:msA.122v,,,
urn:cite:hmt:msA.123r,,,
urn:cite:hmt:msA.123v,,,
urn:cite:hmt:msA.124r,,,
urn:cite:hmt:msA.124v,,,
urn:cite:hmt:msA.125r,,,
urn:cite:hmt:msA.125v,,,
urn:cite:hmt:msA.126r,NS,,
urn:cite:hmt:msA.126v,,,
urn:cite:hmt:msA.127r,,,
urn:cite:hmt:msA.127v,,,
urn:cite:hmt:msA.128r,,,
urn:cite:hmt:msA.128v,,,
urn:cite:hmt:msA.129r,,,
urn:cite:hmt:msA.129v,,,
urn:cite:hmt:msA.130r,,,
urn:cite:hmt:msA.130v,,,
urn:cite:hmt:msA.131r,,,
urn:cite:hmt:msA.131v,,,
urn:cite:hmt:msA.132r,,,
urn:cite:hmt:msA.132v,,,
urn:cite:hmt:msA.133r,,,
urn:cite:hmt:msA.133v,,,
urn:cite:hmt:msA.134r,,,
urn:cite:hmt:msA.134v,,,
urn:cite:hmt:msA.135r,NS,,
urn:cite:hmt:msA.135v,NS,,
urn:cite:hmt:msA.136r,NS,,
urn:cite:hmt:msA.136v,,,NS: how is urn:cts:greekLit:tlg5026.msAim.hmt:10.4637 intermarginal?
urn:cite:hmt:msA.137r,,,NS: bad image index on urn:cts:greekLit:msannotations.venA_subscriptions.hmt:10
